"time","x_co","anomaly_co","x_co climatology","num_obs"
20010103,76.1588,5.05381,71.105,1349
20010110,78.2408,9.39506,68.8457,885
20010117,85.7171,18.73,66.9871,1285
20010124,76.4173,10.8904,65.5269,788
20010131,72.3192,7.87813,64.441,976
20010207,66.9396,3.25011,63.6895,-9999
20010214,60.81,-2.41382,63.2238,-9999
20010221,59.197,-3.79587,62.9929,1169
20010228,64.0943,1.14625,62.9481,626
20010307,62.0662,-0.980045,63.0462,1231
20010314,63.1992,-0.0518412,63.251,1348
20010321,66.2274,2.6948,63.5326,786
20010328,62.9,-0.965962,63.866,1329
20010404,59.9217,-4.30693,64.2287,861
20010411,62.1435,-2.45508,64.5986,1969
20010418,62.0558,-2.89668,64.9525,2073
20010425,62.5755,-2.69004,65.2655,2182
20010502,71.4845,5.97205,65.5124,1386
20010509,68.2775,2.60775,65.6697,512
20010516,65.8973,0.177494,65.7198,-9999
20010523,66.3538,0.699004,65.6548,-9999
20010530,67.9036,2.42257,65.4811,-9999
20010606,69.8748,4.65233,65.2225,-9999
20010613,72.022,7.09975,64.9223,-9999
20010620,74.2177,9.57497,64.6427,-9999
20010627,76.4359,11.9737,64.4622,-9999
20010704,78.6595,14.1894,64.47,-9999
20010711,80.8768,16.1181,64.7587,-9999
20010718,83.0701,17.6553,65.4148,-9999
20010725,85.1977,18.6885,66.5093,-9999
20010801,87.154,19.0662,68.0878,-9999
20010808,88.6651,18.5021,70.1631,-9999
20010815,89.0169,16.3076,72.7093,-9999
20010822,86.3466,10.6866,75.66,38
20010829,86.8326,7.9226,78.91,2167
20010905,109.264,26.9433,82.3203,2374
20010912,98.8738,13.1461,85.7277,1734
20010919,98.414,9.45811,88.9559,2345
20010926,99.6724,7.84316,91.8292,2567
20011003,98.4253,4.23884,94.1865,1966
20011010,106.395,10.5017,95.8934,1119
20011017,88.7977,-8.05596,96.8537,1584
20011024,101.041,4.02504,97.0161,1133
20011031,106.967,10.5888,96.3784,1700
20011107,120.62,25.6337,94.9861,1161
20011114,90.3336,-2.5947,92.9283,719
20011121,93.7246,3.39568,90.3289,1637
20011128,83.8018,-3.5344,87.3362,939
20011205,101.539,17.4291,84.1099,1173
20011212,91.2671,10.4575,80.8096,771
20011219,77.1242,-0.458144,77.5823,1322
20011226,83.959,9.4053,74.5537,1673
20020102,84.3862,12.9268,71.4594,663
20020109,70.4774,1.33311,69.1443,654
20020116,69.1287,1.90081,67.2279,1297
20020123,69.4865,3.77468,65.7119,1404
20020130,72.2483,7.67365,64.5746,1465
20020206,75.0656,11.2874,63.7782,1354
20020213,71.4809,8.20611,63.2748,948
20020220,66.7328,3.71944,63.0134,679
20020227,64.0419,1.09711,62.9448,1479
20020306,68.9059,5.88098,63.0249,1270
20020313,69.9639,6.74747,63.2164,2013
20020320,67.7542,4.26552,63.4887,801
20020327,61.7355,-2.08054,63.8161,742
20020403,66.9583,2.78239,64.1759,2462
20020410,64.0896,-0.456545,64.5462,2125
20020417,65.0807,0.176833,64.9038,1665
20020424,68.7429,3.51861,65.2243,2703
20020501,66.8233,1.34115,65.4821,2369
20020508,66.1296,0.476064,65.6535,2854
20020515,67.1311,1.41146,65.7197,3195
20020522,68.4402,2.76916,65.6711,2548
20020529,68.371,2.8591,65.5118,2945
20020605,67.8994,2.63625,65.2632,2686
20020612,67.5564,2.59087,64.9655,2926
20020619,65.3908,0.712205,64.6786,3160
20020626,65.2066,0.728022,64.4786,3073
20020703,67.5415,3.08761,64.4538,3087
20020710,67.3978,2.70089,64.6969,3104
20020717,71.8704,6.57474,65.2957,2802
20020724,72.1174,5.7934,66.324,3032
20020731,73.671,5.83925,67.8318,2341
20020807,72.5771,2.74042,69.8367,3270
20020814,70.61,-1.70876,72.3188,2913
20020821,77.5261,2.30877,75.2173,1903
20020828,85.7273,7.29494,78.4324,2895
20020904,92.7324,10.9031,81.8293,2813
20020911,96.3797,11.132,85.2477,2507
20020918,98.6138,10.1014,88.5124,2550
20020925,109.983,18.5359,91.4468,2292
20021002,116.187,22.3001,93.8868,2365
20021009,119.971,24.2772,95.6935,2444
20021016,120.99,24.225,96.7647,2553
20021023,116.756,19.7132,97.0424,2462
20021030,116.307,19.7902,96.5172,1912
20021106,121.719,26.4911,95.2282,2140
20021113,118.283,25.0247,93.2586,2074
20021120,97.625,6.89695,90.728,1832
20021127,89.9385,2.15677,87.7818,1431
20021204,89.1234,4.54445,84.579,-9999
20021211,89.5821,8.30224,81.2798,-9999
20021218,89.2978,11.264,78.0339,-9999
20021225,85.5259,10.5557,74.9702,1690
20030101,77.2476,5.42634,71.8213,1352
20030108,73.1977,3.74673,69.4509,441
20030115,71.4766,3.99971,67.4769,415
20030122,85.4293,19.5247,65.9045,862
20030129,77.2078,12.4926,64.7152,1834
20030205,68.9203,5.04743,63.8728,1447
20030212,71.1849,7.85422,63.3307,1120
20030219,65.8497,2.81189,63.0378,629
20030226,60.8708,-2.07375,62.9445,292
20030305,69.4761,6.47027,63.0059,1349
20030312,66.2295,3.04605,63.1835,1527
