"time","x_co","anomaly_co","x_co climatology","num_obs"
20010103,73.1684,6.74014,66.4283,2043
20010110,73.2814,7.9474,65.334,1835
20010117,84.7555,20.2604,64.4951,2180
20010124,80.6084,16.7419,63.8665,1931
20010131,67.042,3.64503,63.397,1665
20010207,58.0192,-5.01686,63.036,-9999
20010214,55.9594,-6.78049,62.7398,730
20010221,61.4379,-1.03675,62.4746,2666
20010228,63.9211,1.70236,62.2187,1824
20010307,59.5474,-2.41483,61.9622,2557
20010314,63.1646,1.45955,61.7051,2170
20010321,58.6243,-2.82959,61.4538,1470
20010328,59.7845,-1.43339,61.2179,2849
20010404,63.5218,2.51604,61.0058,2054
20010411,59.731,-1.09171,60.8227,2750
20010418,61.4954,0.826589,60.6688,3033
20010425,60.7265,0.186894,60.5396,2209
20010502,66.9665,6.53927,60.4272,1843
20010509,64.0529,3.72915,60.3238,819
20010516,61.8293,1.60434,60.2249,-9999
20010523,61.8757,1.74174,60.1339,-9999
20010530,62.7962,2.73149,60.0647,-9999
20010606,64.0533,4.00932,60.044,-9999
20010613,65.4489,5.33753,60.1114,-9999
20010620,66.8855,6.56767,60.3178,-9999
20010627,68.3406,7.61974,60.7209,-9999
20010704,69.8018,8.42237,61.3794,-9999
20010711,71.2624,8.91612,62.3463,-9999
20010718,72.7152,9.05465,63.6605,-9999
20010725,74.1452,8.80462,65.3406,-9999
20010801,75.5154,8.13704,67.3784,-9999
20010808,76.7299,6.99411,69.7358,-9999
20010815,77.5424,5.19857,72.3438,-9999
20010822,77.2905,2.18514,75.1053,290
20010829,79.5832,1.68276,77.9005,2353
20010905,93.0003,12.4055,80.5947,2303
20010912,88.5544,5.50515,83.0493,2706
20010919,95.6956,10.5636,85.132,3244
20010926,96.0154,9.28694,86.7284,3021
20011003,85.9747,-1.77698,87.7517,1746
20011010,83.3829,-4.76665,88.1495,1521
20011017,83.2897,-4.61918,87.9089,2400
20011024,92.7587,5.70188,87.0568,1667
20011031,84.8676,-0.789576,85.6572,1962
20011107,84.206,0.400711,83.8053,1158
20011114,76.5476,-5.07093,81.6186,1340
20011121,75.6357,-3.59083,79.2266,1736
20011128,71.1376,-5.62222,76.7599,2037
20011205,82.4277,8.08802,74.3396,888
20011212,68.9661,-3.10277,72.0688,1147
20011219,70.8245,0.798813,70.0256,2825
20011226,68.9884,0.728484,68.2599,2042
20020102,65.9812,-0.626315,66.6076,2213
20020109,64.6345,-0.839279,65.4737,2526
20020116,65.4048,0.80388,64.601,2884
20020123,66.8852,2.93982,63.9454,1771
20020130,66.7727,3.31643,63.4563,2442
20020206,62.0916,-0.991115,63.0827,1257
20020213,62.8804,0.100833,62.7796,2842
20020220,64.4891,1.97753,62.5116,1260
20020227,63.3041,1.04897,62.2552,1920
20020306,66.266,4.26702,61.999,1775
20020313,65.5009,3.75922,61.7417,3245
20020320,70.4217,8.93268,61.489,1098
20020327,56.1051,-5.14523,61.2503,362
20020403,63.4326,2.39825,61.0344,3608
20020410,66.2516,5.4046,60.847,2827
20020417,63.64,2.95084,60.6892,2262
20020424,65.3856,4.82879,60.5568,3093
20020501,63.5096,3.06702,60.4426,3881
20020508,64.5463,4.20803,60.3382,3058
20020515,63.6809,3.44215,60.2388,1401
20020522,61.0297,0.883631,60.1461,2282
20020529,63.4988,3.42639,60.0724,3060
20020605,64.4694,4.4268,60.0426,2698
20020612,63.6289,3.53431,60.0946,1633
20020619,63.2142,2.9365,60.2777,2687
20020626,64.9846,4.33565,60.649,3974
20020703,64.7679,3.50026,61.2676,3837
20020710,67.051,4.86344,62.1876,4299
20020717,68.1385,4.68801,63.4505,3540
20020724,69.2213,4.14314,65.0782,4106
20020731,73.8226,6.75607,67.0665,2235
20020807,68.7011,-0.6806,69.3817,4159
20020814,74.8581,2.89879,71.9593,3721
20020821,74.1456,-0.560171,74.7058,3009
