"","NEAus38","NEAus39","NEAus40","NEAus41","NEAus42","NEAus43","NEAus44","NEAus45","NEAus46","NEAus47","NEAus48","NEAus49","NEAus50","NEAus51","NEAus52","NEAus1","NEAus2","NEAus3","NEAus4","NEAus5","NEAus6","NEAus7","NEAus8","NEAus9","NEAus10","NEAus11","NEAus12","NEAus13","NEAus14","SEAus38","SEAus39","SEAus40","SEAus41","SEAus42","SEAus43","SEAus44","SEAus45","SEAus46","SEAus47","SEAus48","SEAus49","SEAus50","SEAus51","SEAus52","SEAus1","SEAus2","SEAus3","SEAus4","SEAus5","SEAus6","SEAus7","SEAus8","SEAus9","SEAus10","SEAus11","SEAus12","SEAus13","SEAus14"
"2001-2002",9.45811,7.84316,4.23884,10.5017,-8.05596,4.02504,10.5888,25.6337,-2.5947,3.39568,-3.5344,17.4291,10.4575,-0.458144,9.4053,12.9268,1.33311,1.90081,3.77468,7.67365,11.2874,8.20611,3.71944,1.09711,5.88098,6.74747,4.26552,-2.08054,2.78239,10.5636,9.28694,-1.77698,-4.76665,-4.61918,5.70188,-0.789576,0.400711,-5.07093,-3.59083,-5.62222,8.08802,-3.10277,0.798813,0.728484,-0.626315,-0.839279,0.80388,2.93982,3.31643,-0.991115,0.100833,1.97753,1.04897,4.26702,3.75922,8.93268,-5.14523,2.39825
"2002-2003",10.1014,18.5359,22.3001,24.2772,24.225,19.7132,19.7902,26.4911,25.0247,6.89695,2.15677,4.54445,8.30224,11.264,10.5557,5.42634,3.74673,3.99971,19.5247,12.4926,5.04743,7.85422,2.81189,-2.07375,6.47027,3.04605,4.30626,2.95461,2.4643,8.96185,5.76893,15.0313,17.0087,19.8818,13.2101,14.6333,16.4624,21.513,17.3365,11.1005,10.2431,11.9353,12.44,7.09645,-2.372,5.62898,7.06302,22.6806,12.0545,9.78719,12.2899,8.18249,-0.777511,2.2888,-0.0354916,0.130044,1.01797,1.55723
"2003-2004",-1.52637,-0.424542,-3.65905,-1.54255,-5.09762,-4.74508,13.3404,3.00702,-3.72759,-1.73342,-2.9822,-6.14954,-1.24013,2.44729,4.023815,4.10781,2.92648,0.777405,-2.01055,-2.83642,-3.13467,-1.39311,-1.21899,-2.39675,-1.55029,-0.488562,1.26851,0.662084,-0.718281,9.05369,2.84433,-3.28193,-0.692147,-4.70901,2.76832,-1.64393,-0.108791,0.0818261,3.53671,-2.94776,-3.03032,0.294889,2.4907,3.825475,3.9669,2.70306,-0.547757,-4.84924,-1.61035,2.29196,1.69648,-1.44286,-2.52722,-2.24899,1.06672,0.839272,1.53192,1.3168
"2004-2005",1.10433,2.5011,8.17651,24.2798,16.0222,31.6191,18.3785,19.0371,13.0609,-2.3723,1.22304,-1.07333,4.32184,2.72517,-4.85717,-0.0691429,0.0840146,-3.48009,0.55099,2.80228,2.39202,1.57439,4.39009,0.657572,3.93395,-0.141263,5.42936,0.148432,0.664755,3.06755,9.83684,8.6744,24.8763,1.89117,8.0685,0.72626,-2.76297,2.03999,-1.40622,6.78188,-1.3024,0.874962,1.88442,-2.57604,-3.91216,6.17347,-0.983995,-0.539195,0.327276,0.880796,0.481563,1.18233,2.33544,-2.06901,0.427022,0.326907,3.73025,1.00753
"2005-2006",6.10079,3.55307,7.61396,2.18011,0.844111,-3.85808,-4.93152,-1.49456,-2.82448,-3.53182,-3.00663,-3.10207,5.35274,1.49608,-0.580144,2.11041,1.55588,-6.8211,-4.53844,-4.90133,3.00469,-0.085862,0.148397,-2.00555,-0.6576,-2.26793,-2.74076,-1.64486,-1.32397,13.5379,10.3372,16.1932,16.4264,7.68228,2.74412,6.03929,7.2554,-1.22779,-1.70004,-5.49694,-0.335291,-0.875026,3.04352,4.36265,5.24645,1.73513,0.265743,3.32814,1.67149,-0.337558,0.668017,-1.13206,-3.14198,0.341807,0.645102,-1.55341,-1.1321,-2.77294
"2006-2007",6.02866,6.0537,2.71488,5.91721,6.0885,-0.406708,10.8845,1.77538,11.7726,11.468,21.0406,21.8306,1.97,9.2466,-1.07365,2.51844,1.79455,-0.232696,5.30878,5.408,7.08656,4.57968,3.14916,5.0298,3.69766,5.91169,-1.31787,-2.6585,1.60272,17.139,0.857234,-2.86961,1.71877,3.24338,-4.33961,-10.1123,-3.04748,-4.67526,13.2232,27.8633,-1.6701,7.30171,13.1874,-3.35243,0.449056,4.66732,16.009,1.20408,2.0348,5.77585,0.245606,4.85565,6.65316,4.40571,4.71724,1.25217,-1.01941,1.46017
"2007-2008",21.3003,8.50154,7.45558,12.3652,20.3448,2.90016,2.86761,-0.365851,-4.0835,-5.48659,-6.05505,3.89672,4.51341,-2.7072,-8.651,-6.92393,-0.567475,1.13987,2.70077,-1.15507,2.56122,5.94898,1.60039,3.34864,1.32853,0.854158,-1.84058,-1.37944,-0.681453,21.4797,13.2899,18.0415,12.0853,29.3084,13.3904,3.2755,-2.30752,1.88625,3.15197,1.7171,2.78536,2.10337,-2.60535,-3.6633,-0.218243,0.478117,-0.805983,-2.32318,-2.01547,-4.44065,-4.87605,-0.69911,-3.8154,1.2288,5.52708,2.05928,-3.95187,-0.81716
"2008-2009",-8.26301,-8.47087,-14.2066,-16.9904,-10.9004,-5.17745,-3.99331,-6.0928,-11.2512,-7.52689,-9.64909,-10.2517,-10.0158,-11.3939,-4.062745,-5.6197,-4.03377,0.835122,-1.75158,-2.00118,1.49326,4.87621,-0.799439,2.29514,0.485251,-2.99578,-1.68989,-5.17243,-3.89247,-2.64666,-8.05609,-5.41537,-7.68157,-0.12551,0.478281,5.81186,-3.56241,-6.06549,-7.75294,-9.45966,-5.74971,-6.92786,-6.18595,-4.30964,-1.87166,-2.83904,-1.79795,0.538314,5.1359,6.30737,0.75471,1.95769,-1.11307,-3.59788,-4.39842,-2.06238,-1.56154,-4.58036
"2009-2010",-14.0756,-11.7734,-7.20996,-6.01251,3.21869,-8.89575,-7.16962,-12.5868,1.00201,-9.66866,-5.51758,1.971,5.84835,-2.91507,-8.23009,-13.6983,-6.35396,-2.73972,3.2982,-2.89607,-3.76868,1.03417,-3.15202,-1.15723,-3.11594,-6.28978,-6.26249,-4.77559,-2.17399,-8.95625,-11.5631,-16.6801,-15.3454,0.662467,-5.33048,-5.00598,-3.35745,8.96429,1.03889,-10.1955,-1.68382,-0.77965,-4.34461,-5.42062,-6.54012,-2.24478,-3.8163,0.811831,-5.94579,-4.76725,-3.55276,-2.19649,-5.4777,-5.1373,-3.04403,-0.577828,-3.07916,-2.49051
"2010-2011",-15.3626,-5.53656,-8.72611,-3.05159,-4.68587,2.11057,-3.95408,-3.51396,-8.92698,-9.81373,-12.135,-8.18009,-11.0626,-10.3773,-8.7088,-6.95842,-4.89427,-5.23387,-3.88958,-3.72176,-8.24463,-5.26589,-3.89294,-2.1376,-4.76525,-7.26844,-11.8074,-12.5338,-5.26741,7.70553,2.46636,11.6941,15.5869,-0.359108,10.7585,0.523606,-1.94134,-5.16305,-2.60661,-8.33092,-7.06878,-7.18192,-4.81212,-5.2402,-1.95038,-3.66552,-5.99818,-1.19035,-3.97904,-4.59718,-5.01481,-3.53931,-2.91105,-1.98165,-6.40111,-10.3539,-9.12535,-2.97064
