"","sst","date","week"
"1",-1.01012932313365,1981-11-04,44
"2",-0.80129492000267,1981-11-11,45
"3",-0.508467223284065,1981-11-18,46
"4",-0.352145709068436,1981-11-25,47
"5",-0.17123113076535,1981-12-02,48
"6",-0.356528159937445,1981-12-09,49
"7",-0.547237619590292,1981-12-16,50
"8",-0.468584915794864,1981-12-23,51
"9",-0.197202477441234,1981-12-30,52
"10",0.00481667982147892,1982-01-06,1
"11",0.028613766203855,1982-01-13,2
"12",0.119362211173282,1982-01-20,3
"13",0.0141088535083778,1982-01-27,4
"14",-0.122589188797381,1982-02-03,5
"15",-0.21612014750572,1982-02-10,6
"16",-0.106155628786122,1982-02-17,7
"17",-0.105964733697221,1982-02-24,8
"18",-0.141105635990667,1982-03-03,9
"19",-0.154637464136078,1982-03-10,10
"20",-0.168775599114608,1982-03-17,11
"21",0.0138723405061136,1982-03-24,12
"22",0.0878412298879483,1982-03-31,13
"23",0.113593029979272,1982-04-07,14
"24",0.214868825122805,1982-04-14,15
"25",0.346524639691861,1982-04-21,16
"26",0.456096383199904,1982-04-28,17
"27",0.43252236763657,1982-05-05,18
"28",0.419117811891498,1982-05-12,19
"29",0.696432954789091,1982-05-19,20
"30",1.00472751770813,1982-05-26,21
"31",1.15845385425078,1982-06-02,22
"32",1.09092268610165,1982-06-09,23
"33",1.05926907704116,1982-06-16,24
"34",1.15867096949013,1982-06-23,25
"35",1.00552305092067,1982-06-30,26
"36",0.990328285048806,1982-07-07,27
"37",0.682370335337526,1982-07-14,28
"38",0.691347484813764,1982-07-21,29
"39",0.730299426892027,1982-07-28,30
"40",0.834403195235654,1982-08-04,31
"41",1.11109367149429,1982-08-11,32
"42",1.16458786843972,1982-08-18,33
"43",0.960656731650855,1982-08-25,34
"44",0.873396997486817,1982-09-01,35
"45",1.03320357340523,1982-09-08,36
"46",1.43144602446872,1982-09-15,37
"47",1.57615260744524,1982-09-22,38
"48",1.59787228402874,1982-09-29,39
"49",1.72338321406007,1982-10-06,40
"50",1.85316133797813,1982-10-13,41
"51",1.97797590721159,1982-10-20,42
"52",1.96231676248854,1982-10-27,43
"53",1.91299376727782,1982-11-03,44
"54",1.94578493061185,1982-11-10,45
"55",2.11987009976912,1982-11-17,46
"56",2.31563471689132,1982-11-24,47
"57",2.39167900150412,1982-12-01,48
"58",2.45614755832745,1982-12-08,49
"59",2.56295461696231,1982-12-15,50
"60",2.66800519603448,1982-12-22,51
"61",2.74714247332099,1982-12-29,52
"62",2.74351137475305,1983-01-05,1
"63",2.71184160512486,1983-01-12,2
"64",2.65355179709792,1983-01-19,3
"65",2.60383045142597,1983-01-26,4
"66",2.50715849258174,1983-02-02,5
"67",2.41765392766731,1983-02-09,6
"68",2.27699734024261,1983-02-16,7
"69",2.08090719875423,1983-02-23,8
"70",2.08114533015257,1983-03-02,9
"71",1.96438116895174,1983-03-09,10
"72",1.73211892637379,1983-03-16,11
"73",1.58843190934005,1983-03-23,12
"74",1.35621502487996,1983-03-30,13
"75",1.19030629534449,1983-04-06,14
"76",1.11964703443988,1983-04-13,15
"77",1.13168959054162,1983-04-20,16
"78",1.09849652299794,1983-04-27,17
"79",1.05556242176685,1983-05-04,18
"80",1.1210619919006,1983-05-11,19
"81",1.00705787960217,1983-05-18,20
"82",0.902168076481313,1983-05-25,21
"83",0.957930877627987,1983-06-01,22
"84",0.914811537420649,1983-06-08,23
"85",0.697678451005649,1983-06-15,24
"86",0.261645712590024,1983-06-22,25
"87",0.123558287603008,1983-06-29,26
"88",-0.0756889486560202,1983-07-06,27
"89",-0.275343711205027,1983-07-13,28
"90",-0.308954509378768,1983-07-20,29
"91",-0.349569002102148,1983-07-27,30
"92",-0.367057677444426,1983-08-03,31
"93",-0.430680110529252,1983-08-10,32
"94",-0.37063689866824,1983-08-17,33
"95",-0.405266170486512,1983-08-24,34
"96",-0.394253338641959,1983-08-31,35
"97",-0.270867669606999,1983-09-07,36
"98",-0.282010335943753,1983-09-14,37
"99",-0.328595149869706,1983-09-21,38
"100",-0.583707643871369,1983-09-28,39
"101",-0.911196684444756,1983-10-05,40
"102",-0.830905210839535,1983-10-12,41
"103",-0.831323924916866,1983-10-19,42
"104",-1.04222841193645,1983-10-26,43
"105",-0.923409145093317,1983-11-02,44
"106",-0.805370707747678,1983-11-09,45
"107",-1.1910391291503,1983-11-16,46
"108",-1.47655146653637,1983-11-23,47
"109",-1.08945013538411,1983-11-30,48
"110",-0.888075941302121,1983-12-07,49
"111",-1.05122193948978,1983-12-14,50
"112",-1.12071140902788,1983-12-21,51
"113",-1.19832175700715,1983-12-28,52
"114",-1.04848879926392,1984-01-04,1
"115",-0.914190607894133,1984-01-11,2
"116",-1.10126443765877,1984-01-18,3
"117",-1.15330028640647,1984-01-25,4
"118",-0.851099394009419,1984-02-01,5
"119",-0.699630037865055,1984-02-08,6
"120",-0.477685057591474,1984-02-15,7
"121",-0.157152696043612,1984-02-22,8
"122",-0.217941478920576,1984-02-29,9
"123",-0.276440159205263,1984-03-07,10
"124",-0.401968330516615,1984-03-14,11
"125",-0.47553866151108,1984-03-21,12
"126",-0.640859950576419,1984-03-28,13
"127",-0.558633735956485,1984-04-04,14
"128",-0.10781392690005,1984-04-11,15
"129",-0.167190632571248,1984-04-18,16
"130",-0.594078175843769,1984-04-25,17
"131",-0.59986673918479,1984-05-02,18
"132",-0.301741921428683,1984-05-09,19
"133",-0.298705194450918,1984-05-16,20
"134",-0.641966615312113,1984-05-23,21
"135",-0.694694252662746,1984-05-30,22
"136",-0.759604928360271,1984-06-06,23
"137",-0.830712315270929,1984-06-13,24
"138",-0.870562263787893,1984-06-20,25
"139",-0.745203660857781,1984-06-27,26
"140",-0.399649769506729,1984-07-04,27
"141",-0.544192208233571,1984-07-11,28
"142",-0.668744909740605,1984-07-18,29
"143",-0.584715869335948,1984-07-25,30
"144",-0.570510757780912,1984-08-01,31
"145",-0.659580576684149,1984-08-08,32
"146",-0.448698992847175,1984-08-15,33
"147",-0.520365327953509,1984-08-22,34
"148",-0.647567570366923,1984-08-29,35
"149",-0.462662776782989,1984-09-05,36
"150",-0.231208063886356,1984-09-12,37
"151",-0.118676943169209,1984-09-19,38
"152",-0.540131125359063,1984-09-26,39
"153",-0.812705261897009,1984-10-03,40
"154",-0.605950058230521,1984-10-10,41
"155",-0.723086109177017,1984-10-17,42
"156",-1.10441709664712,1984-10-24,43
"157",-1.17650728263973,1984-10-31,44
"158",-1.29459879705968,1984-11-07,45
"159",-1.32166921350344,1984-11-14,46
"160",-1.3214547086703,1984-11-21,47
"161",-1.18703028907292,1984-11-28,48
