"","olr.anom","date","week","year"
"9350",-0.942739976774131,2000-01-05,1,2000
"9357",-5.7434750632271,2000-01-12,2,2000
"9364",-14.8009783567631,2000-01-19,3,2000
"9371",-12.3469493122745,2000-01-26,4,2000
"9378",-16.0777333011002,2000-02-02,5,2000
"9385",-12.1923880247667,2000-02-09,6,2000
"9392",-1.86216292729999,2000-02-16,7,2000
"9399",-15.4527286309761,2000-02-23,8,2000
"9406",-21.3619835104946,2000-03-01,9,2000
"9413",-8.77963155579106,2000-03-08,10,2000
"9420",-27.1604494936946,2000-03-15,11,2000
"9427",-7.53984750758004,2000-03-22,12,2000
"9434",-6.59471454060092,2000-03-29,13,2000
"9441",-13.7904132577847,2000-04-05,14,2000
"9448",-13.3634303189873,2000-04-12,15,2000
"9455",-18.8195327704038,2000-04-19,16,2000
"9462",-13.8582162934194,2000-04-26,17,2000
"9469",-21.2019579905892,2000-05-03,18,2000
"9476",-2.8309894734604,2000-05-10,19,2000
"9483",-1.07391970334665,2000-05-17,20,2000
"9490",-3.9981686986552,2000-05-24,21,2000
"9497",-19.7568260405359,2000-05-31,22,2000
"9504",-4.84657529728033,2000-06-07,23,2000
"9511",-3.06274544242073,2000-06-14,24,2000
"9518",-13.8691077763542,2000-06-21,25,2000
"9525",-19.2906226527189,2000-06-28,26,2000
"9532",-13.7833437606991,2000-07-05,27,2000
"9539",5.58861217261388,2000-07-12,28,2000
"9546",7.19343581909665,2000-07-19,29,2000
"9553",5.70602703877466,2000-07-26,30,2000
"9560",-0.326982289055516,2000-08-02,31,2000
"9567",-5.36597870984929,2000-08-09,32,2000
"9574",-27.331555481785,2000-08-16,33,2000
"9581",-17.5359528518575,2000-08-23,34,2000
"9588",9.85073577201093,2000-08-30,35,2000
"9595",10.4830724460593,2000-09-06,36,2000
"9602",1.82890892614345,2000-09-13,37,2000
"9609",6.18240442178639,2000-09-20,38,2000
"9616",3.12993515549165,2000-09-27,39,2000
"9623",-19.6307102250666,2000-10-04,40,2000
"9630",-13.5758255600223,2000-10-11,41,2000
"9637",-19.6012566382795,2000-10-18,42,2000
"9644",-27.1828948139608,2000-10-25,43,2000
"9651",-3.92458921561267,2000-11-01,44,2000
