"","time","nino.anomaly","dmi.anomaly","tsa.anomaly","aao.anomaly","week","year"
"740",1996-01-03,-1.08419,0.304507,0.00500523,1.412857,1,1996
"741",1996-01-10,-1.0573,0.270448,0.0413032,0.277286,2,1996
"742",1996-01-17,-0.826813,0.071056,-0.0442532,1.502286,3,1996
"743",1996-01-24,-0.841284,0.401843,-0.129112,0.112286,4,1996
"744",1996-01-31,-0.963881,0.278619,0.295392,-2.866429,5,1996
"745",1996-02-07,-1.19709,0.528209,0.297932,-2.025429,6,1996
"746",1996-02-14,-1.00571,0.160342,0.257177,0.363857,7,1996
"747",1996-02-21,-1.05916,0.084015,0.432186,0.177714,8,1996
"748",1996-02-28,-0.673788,0.192179,0.44587,0.816714,9,1996
"749",1996-03-06,-0.883134,-0.114645,0.312055,0.931429,10,1996
"750",1996-03-13,-0.630663,-0.128592,-0.136134,0.181571,11,1996
"751",1996-03-20,-0.535172,-0.211598,0.407485,0.682714,12,1996
"752",1996-03-27,-0.649154,-0.499031,0.511233,0.253714,13,1996
"753",1996-04-03,-0.608173,-0.2806,0.357561,-0.318571,14,1996
"754",1996-04-10,-0.336329,-0.286771,0.644826,0.712143,15,1996
"755",1996-04-17,-0.496028,-0.446217,0.446744,-0.140286,16,1996
"756",1996-04-24,-0.206561,-0.142359,0.585498,-0.212429,17,1996
"757",1996-05-01,-0.439404,0.0244925,0.664895,0.789857,18,1996
"758",1996-05-08,-0.29842,-0.224856,0.290382,1.255714,19,1996
"759",1996-05-15,-0.594204,-0.1681,0.528061,1.394143,20,1996
"760",1996-05-22,-0.66467,-0.314499,0.655301,0.540143,21,1996
"761",1996-05-29,-0.467842,-0.169051,0.843546,0.685,22,1996
"762",1996-06-05,-0.400798,-0.192167,0.559146,1.044,23,1996
"763",1996-06-12,-0.419463,-0.0132935,0.703848,-0.745714,24,1996
"764",1996-06-19,-0.347701,-0.244452,0.572563,0.568143,25,1996
"765",1996-06-26,-0.197338,-0.565706,0.421827,-1.773857,26,1996
"766",1996-07-03,0.147278,-0.218089,0.615994,0.200571,27,1996
"767",1996-07-10,-0.215964,-0.0761807,0.720733,1.332571,28,1996
"768",1996-07-17,-0.198313,-0.858073,0.369965,-0.398571,29,1996
"769",1996-07-24,-0.276456,-1.01351,0.254199,-0.761143,30,1996
"770",1996-07-31,-0.496064,-0.781026,0.157248,-1.039143,31,1996
"771",1996-08-07,-0.346777,-0.595487,0.198316,-0.184286,32,1996
"772",1996-08-14,-0.419664,-0.975059,0.405469,-1.313714,33,1996
"773",1996-08-21,-0.324275,-0.969442,0.206253,-0.859571,34,1996
"774",1996-08-28,-0.299442,-1.11108,0.233584,-3.518429,35,1996
"775",1996-09-04,-0.409599,-0.39151,0.284408,-3.498571,36,1996
"776",1996-09-11,-0.54048,-0.143847,0.325403,-2.720143,37,1996
