"","NEAus.anom","SEAus.anom","date","week","year"
"1",5.05381,6.74014,2001-01-03,1,2001
"2",9.39506,7.9474,2001-01-10,2,2001
"3",18.73,20.2604,2001-01-17,3,2001
"4",10.8904,16.7419,2001-01-24,4,2001
"5",7.87813,3.64503,2001-01-31,5,2001
"6",3.25011,-5.01686,2001-02-07,6,2001
"7",-2.41382,-6.78049,2001-02-14,7,2001
"8",-3.79587,-1.03675,2001-02-21,8,2001
"9",1.14625,1.70236,2001-02-28,9,2001
"10",-0.980045,-2.41483,2001-03-07,10,2001
"11",-0.0518412,1.45955,2001-03-14,11,2001
"12",2.6948,-2.82959,2001-03-21,12,2001
"13",-0.965962,-1.43339,2001-03-28,13,2001
"14",-4.30693,2.51604,2001-04-04,14,2001
"15",-2.45508,-1.09171,2001-04-11,15,2001
"16",-2.89668,0.826589,2001-04-18,16,2001
"17",-2.69004,0.186894,2001-04-25,17,2001
"18",5.97205,6.53927,2001-05-02,18,2001
"19",2.60775,3.72915,2001-05-09,19,2001
"20",0.177494,1.60434,2001-05-16,20,2001
"21",0.699004,1.74174,2001-05-23,21,2001
"22",2.42257,2.73149,2001-05-30,22,2001
"23",4.65233,4.00932,2001-06-06,23,2001
"24",7.09975,5.33753,2001-06-13,24,2001
"25",9.57497,6.56767,2001-06-20,25,2001
"26",11.9737,7.61974,2001-06-27,26,2001
"27",14.1894,8.42237,2001-07-04,27,2001
"28",16.1181,8.91612,2001-07-11,28,2001
"29",17.6553,9.05465,2001-07-18,29,2001
"30",18.6885,8.80462,2001-07-25,30,2001
"31",19.0662,8.13704,2001-08-01,31,2001
"32",18.5021,6.99411,2001-08-08,32,2001
"33",16.3076,5.19857,2001-08-15,33,2001
"34",10.6866,2.18514,2001-08-22,34,2001
"35",7.9226,1.68276,2001-08-29,35,2001
"36",26.9433,12.4055,2001-09-05,36,2001
"37",13.1461,5.50515,2001-09-12,37,2001
"38",9.45811,10.5636,2001-09-19,38,2001
"39",7.84316,9.28694,2001-09-26,39,2001
"40",4.23884,-1.77698,2001-10-03,40,2001
"41",10.5017,-4.76665,2001-10-10,41,2001
"42",-8.05596,-4.61918,2001-10-17,42,2001
"43",4.02504,5.70188,2001-10-24,43,2001
"44",10.5888,-0.789576,2001-10-31,44,2001
"45",25.6337,0.400711,2001-11-07,45,2001
"46",-2.5947,-5.07093,2001-11-14,46,2001
"47",3.39568,-3.59083,2001-11-21,47,2001
"48",-3.5344,-5.62222,2001-11-28,48,2001
"49",17.4291,8.08802,2001-12-05,49,2001
"50",10.4575,-3.10277,2001-12-12,50,2001
"51",-0.458144,0.798813,2001-12-19,51,2001
"52",9.4053,0.728484,2001-12-26,52,2001
"53",12.9268,-0.626315,2002-01-02,1,2002
"54",1.33311,-0.839279,2002-01-09,2,2002
"55",1.90081,0.80388,2002-01-16,3,2002
"56",3.77468,2.93982,2002-01-23,4,2002
"57",7.67365,3.31643,2002-01-30,5,2002
"58",11.2874,-0.991115,2002-02-06,6,2002
"59",8.20611,0.100833,2002-02-13,7,2002
"60",3.71944,1.97753,2002-02-20,8,2002
"61",1.09711,1.04897,2002-02-27,9,2002
"62",5.88098,4.26702,2002-03-06,10,2002
"63",6.74747,3.75922,2002-03-13,11,2002
"64",4.26552,8.93268,2002-03-20,12,2002
"65",-2.08054,-5.14523,2002-03-27,13,2002
"66",2.78239,2.39825,2002-04-03,14,2002
"67",-0.456545,5.4046,2002-04-10,15,2002
"68",0.176833,2.95084,2002-04-17,16,2002
"69",3.51861,4.82879,2002-04-24,17,2002
"70",1.34115,3.06702,2002-05-01,18,2002
"71",0.476064,4.20803,2002-05-08,19,2002
"72",1.41146,3.44215,2002-05-15,20,2002
"73",2.76916,0.883631,2002-05-22,21,2002
"74",2.8591,3.42639,2002-05-29,22,2002
"75",2.63625,4.4268,2002-06-05,23,2002
"76",2.59087,3.53431,2002-06-12,24,2002
"77",0.712205,2.9365,2002-06-19,25,2002
"78",0.728022,4.33565,2002-06-26,26,2002
"79",3.08761,3.50026,2002-07-03,27,2002
"80",2.70089,4.86344,2002-07-10,28,2002
"81",6.57474,4.68801,2002-07-17,29,2002
"82",5.7934,4.14314,2002-07-24,30,2002
"83",5.83925,6.75607,2002-07-31,31,2002
"84",2.74042,-0.6806,2002-08-07,32,2002
"85",-1.70876,2.89879,2002-08-14,33,2002
"86",2.30877,-0.560171,2002-08-21,34,2002
"87",7.29494,4.42743,2002-08-28,35,2002
"88",10.9031,10.8431,2002-09-04,36,2002
"89",11.132,3.33468,2002-09-11,37,2002
"90",10.1014,8.96185,2002-09-18,38,2002
"91",18.5359,5.76893,2002-09-25,39,2002
"92",22.3001,15.0313,2002-10-02,40,2002
"93",24.2772,17.0087,2002-10-09,41,2002
"94",24.225,19.8818,2002-10-16,42,2002
"95",19.7132,13.2101,2002-10-23,43,2002
"96",19.7902,14.6333,2002-10-30,44,2002
"97",26.4911,16.4624,2002-11-06,45,2002
"98",25.0247,21.513,2002-11-13,46,2002
"99",6.89695,17.3365,2002-11-20,47,2002
"100",2.15677,11.1005,2002-11-27,48,2002
"101",4.54445,10.2431,2002-12-04,49,2002
"102",8.30224,11.9353,2002-12-11,50,2002
"103",11.264,12.44,2002-12-18,51,2002
"104",10.5557,7.09645,2002-12-25,52,2002
"105",5.42634,-2.372,2003-01-01,1,2003
"106",3.74673,5.62898,2003-01-08,2,2003
"107",3.99971,7.06302,2003-01-15,3,2003
"108",19.5247,22.6806,2003-01-22,4,2003
"109",12.4926,12.0545,2003-01-29,5,2003
"110",5.04743,9.78719,2003-02-05,6,2003
"111",7.85422,12.2899,2003-02-12,7,2003
"112",2.81189,8.18249,2003-02-19,8,2003
"113",-2.07375,-0.777511,2003-02-26,9,2003
"114",6.47027,2.2888,2003-03-05,10,2003
"115",3.04605,-0.0354916,2003-03-12,11,2003
"116",4.30626,0.130044,2003-03-19,12,2003
"117",2.95461,1.01797,2003-03-26,13,2003
"118",2.4643,1.55723,2003-04-02,14,2003
"119",3.02506,1.41957,2003-04-09,15,2003
"120",-1.12863,-1.62623,2003-04-16,16,2003
"121",-0.997105,2.37835,2003-04-23,17,2003
"122",2.45667,0.737835,2003-04-30,18,2003
