"","time","NE_Aus_anomaly_co","SE_Aus_anomaly_co","week","year"
"1",2001-01-03,5.05381,6.74014,1,2001
"2",2001-01-10,9.39506,7.9474,2,2001
"3",2001-01-17,18.73,20.2604,3,2001
"4",2001-01-24,10.8904,16.7419,4,2001
"5",2001-01-31,7.87813,3.64503,5,2001
"6",2001-02-07,3.25011,-5.01686,6,2001
"7",2001-02-14,-2.41382,-6.78049,7,2001
"8",2001-02-21,-3.79587,-1.03675,8,2001
"9",2001-02-28,1.14625,1.70236,9,2001
"10",2001-03-07,-0.980045,-2.41483,10,2001
"11",2001-03-14,-0.0518412,1.45955,11,2001
"12",2001-03-21,2.6948,-2.82959,12,2001
"13",2001-03-28,-0.965962,-1.43339,13,2001
"14",2001-04-04,-4.30693,2.51604,14,2001
"15",2001-04-11,-2.45508,-1.09171,15,2001
"16",2001-04-18,-2.89668,0.826589,16,2001
"17",2001-04-25,-2.69004,0.186894,17,2001
"18",2001-05-02,5.97205,6.53927,18,2001
"19",2001-05-09,2.60775,3.72915,19,2001
"20",2001-05-16,0.177494,1.60434,20,2001
"21",2001-05-23,0.699004,1.74174,21,2001
"22",2001-05-30,2.42257,2.73149,22,2001
"23",2001-06-06,4.65233,4.00932,23,2001
"24",2001-06-13,7.09975,5.33753,24,2001
"25",2001-06-20,9.57497,6.56767,25,2001
"26",2001-06-27,11.9737,7.61974,26,2001
"27",2001-07-04,14.1894,8.42237,27,2001
"28",2001-07-11,16.1181,8.91612,28,2001
"29",2001-07-18,17.6553,9.05465,29,2001
"30",2001-07-25,18.6885,8.80462,30,2001
"31",2001-08-01,19.0662,8.13704,31,2001
"32",2001-08-08,18.5021,6.99411,32,2001
"33",2001-08-15,16.3076,5.19857,33,2001
"34",2001-08-22,10.6866,2.18514,34,2001
"35",2001-08-29,7.9226,1.68276,35,2001
"36",2001-09-05,26.9433,12.4055,36,2001
"37",2001-09-12,13.1461,5.50515,37,2001
"38",2001-09-19,9.45811,10.5636,38,2001
"39",2001-09-26,7.84316,9.28694,39,2001
"40",2001-10-03,4.23884,-1.77698,40,2001
"41",2001-10-10,10.5017,-4.76665,41,2001
"42",2001-10-17,-8.05596,-4.61918,42,2001
"43",2001-10-24,4.02504,5.70188,43,2001
"44",2001-10-31,10.5888,-0.789576,44,2001
"45",2001-11-07,25.6337,0.400711,45,2001
"46",2001-11-14,-2.5947,-5.07093,46,2001
"47",2001-11-21,3.39568,-3.59083,47,2001
"48",2001-11-28,-3.5344,-5.62222,48,2001
"49",2001-12-05,17.4291,8.08802,49,2001
"50",2001-12-12,10.4575,-3.10277,50,2001
"51",2001-12-19,-0.458144,0.798813,51,2001
"52",2001-12-26,9.4053,0.728484,52,2001
"53",2002-01-02,12.9268,-0.626315,1,2002
"54",2002-01-09,1.33311,-0.839279,2,2002
"55",2002-01-16,1.90081,0.80388,3,2002
"56",2002-01-23,3.77468,2.93982,4,2002
"57",2002-01-30,7.67365,3.31643,5,2002
"58",2002-02-06,11.2874,-0.991115,6,2002
"59",2002-02-13,8.20611,0.100833,7,2002
"60",2002-02-20,3.71944,1.97753,8,2002
"61",2002-02-27,1.09711,1.04897,9,2002
"62",2002-03-06,5.88098,4.26702,10,2002
"63",2002-03-13,6.74747,3.75922,11,2002
"64",2002-03-20,4.26552,8.93268,12,2002
"65",2002-03-27,-2.08054,-5.14523,13,2002
"66",2002-04-03,2.78239,2.39825,14,2002
"67",2002-04-10,-0.456545,5.4046,15,2002
"68",2002-04-17,0.176833,2.95084,16,2002
"69",2002-04-24,3.51861,4.82879,17,2002
"70",2002-05-01,1.34115,3.06702,18,2002
"71",2002-05-08,0.476064,4.20803,19,2002
"72",2002-05-15,1.41146,3.44215,20,2002
"73",2002-05-22,2.76916,0.883631,21,2002
"74",2002-05-29,2.8591,3.42639,22,2002
"75",2002-06-05,2.63625,4.4268,23,2002
"76",2002-06-12,2.59087,3.53431,24,2002
"77",2002-06-19,0.712205,2.9365,25,2002
"78",2002-06-26,0.728022,4.33565,26,2002
"79",2002-07-03,3.08761,3.50026,27,2002
"80",2002-07-10,2.70089,4.86344,28,2002
"81",2002-07-17,6.57474,4.68801,29,2002
"82",2002-07-24,5.7934,4.14314,30,2002
"83",2002-07-31,5.83925,6.75607,31,2002
"84",2002-08-07,2.74042,-0.6806,32,2002
"85",2002-08-14,-1.70876,2.89879,33,2002
"86",2002-08-21,2.30877,-0.560171,34,2002
"87",2002-08-28,7.29494,4.42743,35,2002
"88",2002-09-04,10.9031,10.8431,36,2002
"89",2002-09-11,11.132,3.33468,37,2002
"90",2002-09-18,10.1014,8.96185,38,2002
"91",2002-09-25,18.5359,5.76893,39,2002
"92",2002-10-02,22.3001,15.0313,40,2002
"93",2002-10-09,24.2772,17.0087,41,2002
"94",2002-10-16,24.225,19.8818,42,2002
"95",2002-10-23,19.7132,13.2101,43,2002
"96",2002-10-30,19.7902,14.6333,44,2002
"97",2002-11-06,26.4911,16.4624,45,2002
"98",2002-11-13,25.0247,21.513,46,2002
"99",2002-11-20,6.89695,17.3365,47,2002
"100",2002-11-27,2.15677,11.1005,48,2002
"101",2002-12-04,4.54445,10.2431,49,2002
"102",2002-12-11,8.30224,11.9353,50,2002
"103",2002-12-18,11.264,12.44,51,2002
"104",2002-12-25,10.5557,7.09645,52,2002
"105",2003-01-01,5.42634,-2.372,1,2003
"106",2003-01-08,3.74673,5.62898,2,2003
"107",2003-01-15,3.99971,7.06302,3,2003
"108",2003-01-22,19.5247,22.6806,4,2003
"109",2003-01-29,12.4926,12.0545,5,2003
"110",2003-02-05,5.04743,9.78719,6,2003
"111",2003-02-12,7.85422,12.2899,7,2003
"112",2003-02-19,2.81189,8.18249,8,2003
"113",2003-02-26,-2.07375,-0.777511,9,2003
"114",2003-03-05,6.47027,2.2888,10,2003
"115",2003-03-12,3.04605,-0.0354916,11,2003
"116",2003-03-19,4.30626,0.130044,12,2003
"117",2003-03-26,2.95461,1.01797,13,2003
"118",2003-04-02,2.4643,1.55723,14,2003
"119",2003-04-09,3.02506,1.41957,15,2003
"120",2003-04-16,-1.12863,-1.62623,16,2003
"121",2003-04-23,-0.997105,2.37835,17,2003
"122",2003-04-30,2.45667,0.737835,18,2003
"123",2003-05-07,0.795865,3.7645,19,2003
"124",2003-05-14,1.53357,1.80857,20,2003
"125",2003-05-21,2.32966,2.57555,21,2003
"126",2003-05-28,2.17181,2.71629,22,2003
"127",2003-06-04,5.24437,4.33636,23,2003
"128",2003-06-11,3.54311,4.18587,24,2003
"129",2003-06-18,3.97054,3.3614,25,2003
"130",2003-06-25,8.04589,3.23717,26,2003
"131",2003-07-02,7.42186,4.67351,27,2003
"132",2003-07-09,6.19669,5.02997,28,2003
"133",2003-07-16,2.79547,5.0803,29,2003
"134",2003-07-23,4.76854,4.0237,30,2003
"135",2003-07-30,4.82468,4.02849,31,2003
"136",2003-08-06,2.17538,3.79049,32,2003
"137",2003-08-13,-1.18921,1.86591,33,2003
"138",2003-08-20,2.19263,-1.61746,34,2003
"139",2003-08-27,1.01051,-2.99084,35,2003
"140",2003-09-03,-2.29056,-3.28508,36,2003
